province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
,Australia,2020-01-23,,,,,,,,,,
,Australia,2020-01-25,,,,4,,,,,,
,Australia,2020-01-26,,,,4,,,,,,
New South Wales,Australia,2020-01-27,,,,4,,,,,,
Victoria,Australia,2020-01-27,,,,1,,,,,,
New South Wales,Australia,2020-01-28,,,,4,,,,,,
Victoria,Australia,2020-01-28,,,,1,,,,,,
New South Wales,Australia,2020-01-29,,,,4,,,,,,
Victoria,Australia,2020-01-29,,,,1,,,,,,
New South Wales,Australia,2020-01-30,,,,4,,2,,,,
Victoria,Australia,2020-01-30,,,,2,,,,,,
Queensland,Australia,2020-01-30,,,,3,,,,,,
New South Wales,Australia,2020-01-31,,,,4,,2,,,,
Victoria,Australia,2020-01-31,,,,3,,,,,,
Queensland,Australia,2020-01-31,,,,2,,,,,,
New South Wales,Australia,2020-02-01,,,,4,0,2,,,,
Victoria,Australia,2020-02-01,,,,4,0,0,,,,
Queensland,Australia,2020-02-01,,,,3,0,0,,,,
South Australia,Australia,2020-02-01,,,,1,0,0,,,,
New South Wales,Australia,2020-02-02,,,,4,0,2,,,,
Victoria,Australia,2020-02-02,,,,4,0,0,,,,
Queensland,Australia,2020-02-02,,,,2,0,0,,,,
South Australia,Australia,2020-02-02,,,,2,0,0,,,,
New South Wales,Australia,2020-02-03,,,,4,0,2,,,,
Victoria,Australia,2020-02-03,,,,4,0,0,,,,
Queensland,Australia,2020-02-03,,,,2,0,0,,,,
South Australia,Australia,2020-02-03,,,,2,0,0,,,,
New South Wales,Australia,2020-02-04,,,,4,0,2,,,,
Victoria,Australia,2020-02-04,,,,4,0,0,,,,
Queensland,Australia,2020-02-04,,,,3,0,0,,,,
South Australia,Australia,2020-02-04,,,,2,0,0,,,,
New South Wales,Australia,2020-02-05,,,,4,0,2,,,,
Victoria,Australia,2020-02-05,,,,4,0,0,,,,
Queensland,Australia,2020-02-05,,,,3,0,0,,,,
South Australia,Australia,2020-02-05,,,,2,0,0,,,,
